IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码
108.162.198.117,4,4,0.00,168.51,27.44,SJC
104.21.48.156,4,4,0.00,168.49,26.61,LAX
162.159.26.202,4,4,0.00,169.38,26.55,LAX
104.17.196.157,4,4,0.00,168.66,25.81,LAX
172.66.148.51,4,4,0.00,167.62,24.65,LAX
104.18.176.137,4,4,0.00,168.25,24.19,LAX
104.17.17.93,4,4,0.00,169.36,24.09,LAX
104.24.56.17,4,4,0.00,167.97,24.07,LAX
104.17.178.14,4,4,0.00,167.69,14.34,LAX
172.66.202.99,4,3,0.25,171.40,0.00,N/A
172.65.114.121,4,3,0.25,166.35,0.00,N/A
104.25.74.182,4,4,0.00,169.44,0.00,N/A
104.29.143.99,4,4,0.00,169.52,0.00,N/A
172.65.54.77,4,4,0.00,169.54,0.00,N/A
104.21.13.96,4,4,0.00,169.56,0.00,N/A
104.27.193.216,4,4,0.00,169.58,0.00,N/A
104.19.18.60,4,4,0.00,169.64,0.00,N/A
104.21.108.236,4,4,0.00,169.69,0.00,N/A
104.25.113.111,4,4,0.00,169.71,0.00,N/A
172.66.135.236,4,4,0.00,169.78,0.00,N/A
104.21.42.183,4,4,0.00,169.97,0.00,N/A
172.65.107.196,4,4,0.00,170.08,0.00,N/A
104.17.198.1,4,4,0.00,170.12,0.00,N/A
172.64.146.124,4,4,0.00,170.12,0.00,N/A
104.24.65.70,4,4,0.00,170.13,0.00,N/A
104.17.22.135,4,4,0.00,170.16,0.00,N/A
162.159.237.186,4,4,0.00,170.20,0.00,N/A
104.19.10.77,4,4,0.00,170.22,0.00,N/A
104.17.180.164,4,4,0.00,170.22,0.00,N/A
104.27.13.164,4,4,0.00,170.39,0.00,N/A
172.65.95.16,4,4,0.00,170.42,0.00,N/A
172.66.43.171,4,4,0.00,170.51,0.00,N/A
172.64.153.129,4,4,0.00,170.62,0.00,N/A
162.159.245.70,4,4,0.00,170.90,0.00,N/A
104.27.200.177,4,4,0.00,170.90,0.00,N/A
104.25.202.65,4,4,0.00,170.91,0.00,N/A
104.16.3.108,4,4,0.00,170.92,0.00,N/A
104.24.26.212,4,4,0.00,170.94,0.00,N/A
172.65.111.229,4,4,0.00,170.97,0.00,N/A
104.24.36.249,4,4,0.00,171.04,0.00,N/A
104.24.22.195,4,4,0.00,171.09,0.00,N/A
104.20.14.195,4,4,0.00,171.13,0.00,N/A
172.64.88.121,4,4,0.00,171.13,0.00,N/A
104.24.62.38,4,4,0.00,171.21,0.00,N/A
104.17.185.57,4,4,0.00,171.25,0.00,N/A
104.19.11.220,4,4,0.00,171.35,0.00,N/A
172.67.132.204,4,4,0.00,171.35,0.00,N/A
104.24.21.147,4,4,0.00,171.38,0.00,N/A
162.159.42.221,4,4,0.00,171.40,0.00,N/A
172.67.220.254,4,4,0.00,171.46,0.00,N/A
172.66.162.203,4,4,0.00,171.51,0.00,N/A
104.21.62.78,4,4,0.00,171.60,0.00,N/A
104.25.252.243,4,4,0.00,171.62,0.00,N/A
172.65.5.15,4,4,0.00,171.65,0.00,N/A
172.66.143.94,4,4,0.00,171.68,0.00,N/A
172.65.56.72,4,4,0.00,171.68,0.00,N/A
104.16.116.29,4,4,0.00,171.68,0.00,N/A
104.24.11.71,4,4,0.00,171.70,0.00,N/A
104.21.57.113,4,4,0.00,171.74,0.00,N/A
104.24.8.92,4,4,0.00,171.75,0.00,N/A
104.24.84.11,4,4,0.00,171.77,0.00,N/A
172.65.60.234,4,4,0.00,171.85,0.00,N/A
104.24.28.163,4,4,0.00,171.91,0.00,N/A
104.24.4.213,4,4,0.00,171.93,0.00,N/A
173.245.59.165,4,4,0.00,172.01,0.00,N/A
172.65.73.75,4,4,0.00,172.02,0.00,N/A
104.16.33.121,4,4,0.00,172.04,0.00,N/A
104.25.48.201,4,4,0.00,172.06,0.00,N/A
172.64.83.198,4,4,0.00,172.12,0.00,N/A
172.66.132.168,4,4,0.00,172.13,0.00,N/A
104.27.44.251,4,4,0.00,172.13,0.00,N/A
104.25.139.195,4,4,0.00,172.16,0.00,N/A
172.64.231.78,4,4,0.00,172.18,0.00,N/A
104.21.70.244,4,4,0.00,172.20,0.00,N/A
104.25.245.145,4,4,0.00,172.29,0.00,N/A
104.24.7.223,4,4,0.00,172.32,0.00,N/A
104.20.58.223,4,4,0.00,172.35,0.00,N/A
172.67.251.212,4,4,0.00,172.36,0.00,N/A
172.64.67.219,4,4,0.00,172.37,0.00,N/A
104.19.23.221,4,4,0.00,172.37,0.00,N/A
104.17.15.48,4,4,0.00,172.41,0.00,N/A
104.21.3.105,4,4,0.00,172.43,0.00,N/A
172.64.36.210,4,4,0.00,172.43,0.00,N/A
172.64.90.5,4,4,0.00,172.46,0.00,N/A
172.67.224.6,4,4,0.00,172.47,0.00,N/A
172.66.167.212,4,4,0.00,172.48,0.00,N/A
104.19.79.24,4,4,0.00,172.53,0.00,N/A
104.24.59.159,4,4,0.00,172.55,0.00,N/A
104.18.31.67,4,4,0.00,172.58,0.00,N/A
104.25.253.122,4,4,0.00,172.61,0.00,N/A
172.64.147.244,4,4,0.00,172.61,0.00,N/A
172.67.229.170,4,4,0.00,172.61,0.00,N/A
172.65.11.3,4,4,0.00,172.61,0.00,N/A
172.65.108.9,4,4,0.00,172.63,0.00,N/A
162.159.41.31,4,4,0.00,172.64,0.00,N/A
172.65.63.6,4,4,0.00,172.65,0.00,N/A
104.17.21.215,4,4,0.00,172.69,0.00,N/A
104.27.105.196,4,4,0.00,172.74,0.00,N/A
104.25.79.167,4,4,0.00,172.74,0.00,N/A
172.64.230.19,4,4,0.00,172.75,0.00,N/A
172.67.232.68,4,4,0.00,172.77,0.00,N/A
104.21.4.30,4,4,0.00,172.77,0.00,N/A
141.101.115.165,4,4,0.00,172.79,0.00,N/A
104.21.85.229,4,4,0.00,172.79,0.00,N/A
172.66.197.174,4,4,0.00,172.79,0.00,N/A
172.66.172.118,4,4,0.00,172.88,0.00,N/A
104.21.43.122,4,4,0.00,172.89,0.00,N/A
104.17.189.131,4,4,0.00,172.91,0.00,N/A
104.21.204.157,4,4,0.00,172.92,0.00,N/A
172.66.195.2,4,4,0.00,172.93,0.00,N/A
104.25.185.195,4,4,0.00,172.94,0.00,N/A
104.17.172.131,4,4,0.00,172.95,0.00,N/A
104.21.97.177,4,4,0.00,172.98,0.00,N/A
104.18.60.195,4,4,0.00,173.05,0.00,N/A
104.21.92.254,4,4,0.00,173.09,0.00,N/A
104.17.135.133,4,4,0.00,173.09,0.00,N/A
104.21.56.115,4,4,0.00,173.10,0.00,N/A
104.21.211.6,4,4,0.00,173.11,0.00,N/A
104.16.56.197,4,4,0.00,173.11,0.00,N/A
104.24.16.12,4,4,0.00,173.11,0.00,N/A
104.24.41.107,4,4,0.00,173.12,0.00,N/A
172.64.156.251,4,4,0.00,173.13,0.00,N/A
104.17.155.40,4,4,0.00,173.17,0.00,N/A
104.21.84.153,4,4,0.00,173.21,0.00,N/A
104.25.52.31,4,4,0.00,173.21,0.00,N/A
104.17.104.184,4,4,0.00,173.22,0.00,N/A
104.24.91.219,4,4,0.00,173.24,0.00,N/A
104.27.8.208,4,4,0.00,173.27,0.00,N/A
172.64.38.2,4,4,0.00,173.29,0.00,N/A
104.17.14.8,4,4,0.00,173.29,0.00,N/A
104.27.63.248,4,4,0.00,173.33,0.00,N/A
104.27.55.40,4,4,0.00,173.33,0.00,N/A
104.27.198.107,4,4,0.00,173.36,0.00,N/A
104.24.0.252,4,4,0.00,173.36,0.00,N/A
104.20.40.174,4,4,0.00,173.38,0.00,N/A
162.159.243.246,4,4,0.00,173.39,0.00,N/A
162.159.50.164,4,4,0.00,173.40,0.00,N/A
104.21.227.150,4,4,0.00,173.40,0.00,N/A
104.27.42.106,4,4,0.00,173.43,0.00,N/A
162.159.94.131,4,4,0.00,173.43,0.00,N/A
104.21.123.122,4,4,0.00,173.45,0.00,N/A
172.67.255.172,4,4,0.00,173.46,0.00,N/A
104.17.24.42,4,4,0.00,173.47,0.00,N/A
172.64.53.73,4,4,0.00,173.49,0.00,N/A
104.21.87.157,4,4,0.00,173.50,0.00,N/A
104.16.9.98,4,4,0.00,173.50,0.00,N/A
104.17.177.33,4,4,0.00,173.54,0.00,N/A
104.25.58.188,4,4,0.00,173.58,0.00,N/A
104.21.196.112,4,4,0.00,173.61,0.00,N/A
162.159.152.74,4,4,0.00,173.63,0.00,N/A
104.19.42.205,4,4,0.00,173.69,0.00,N/A
172.67.104.83,4,4,0.00,173.70,0.00,N/A
104.27.3.6,4,4,0.00,173.72,0.00,N/A
198.41.197.10,4,4,0.00,173.74,0.00,N/A
104.21.125.93,4,4,0.00,173.75,0.00,N/A
104.25.57.39,4,4,0.00,173.81,0.00,N/A
162.159.136.214,4,4,0.00,173.82,0.00,N/A
104.19.13.156,4,4,0.00,173.82,0.00,N/A
104.21.36.240,4,4,0.00,173.85,0.00,N/A
104.16.119.3,4,4,0.00,173.86,0.00,N/A
162.159.46.107,4,4,0.00,173.88,0.00,N/A
104.27.2.64,4,4,0.00,173.94,0.00,N/A
104.21.105.201,4,4,0.00,173.97,0.00,N/A
104.21.117.86,4,4,0.00,173.99,0.00,N/A
172.64.77.24,4,4,0.00,174.00,0.00,N/A
162.159.213.133,4,4,0.00,174.02,0.00,N/A
104.24.83.127,4,4,0.00,174.03,0.00,N/A
104.16.37.128,4,4,0.00,174.05,0.00,N/A
104.21.17.58,4,4,0.00,174.07,0.00,N/A
173.245.49.82,4,4,0.00,174.07,0.00,N/A
104.17.7.53,4,4,0.00,174.09,0.00,N/A
104.24.148.38,4,4,0.00,174.09,0.00,N/A
104.21.126.17,4,4,0.00,174.10,0.00,N/A
172.67.154.247,4,4,0.00,174.11,0.00,N/A
104.29.111.149,4,4,0.00,174.11,0.00,N/A
104.18.79.221,4,4,0.00,174.12,0.00,N/A
104.24.58.98,4,4,0.00,174.12,0.00,N/A
104.17.6.238,4,4,0.00,174.14,0.00,N/A
104.24.23.64,4,4,0.00,174.16,0.00,N/A
172.65.185.104,4,4,0.00,174.18,0.00,N/A
104.21.12.242,4,4,0.00,174.24,0.00,N/A
104.27.112.205,4,4,0.00,174.24,0.00,N/A
104.17.26.47,4,4,0.00,174.25,0.00,N/A
104.25.244.225,4,4,0.00,174.25,0.00,N/A
162.159.35.26,4,4,0.00,174.26,0.00,N/A
172.64.176.42,4,4,0.00,174.27,0.00,N/A
104.25.237.216,4,4,0.00,174.30,0.00,N/A
162.159.27.201,4,4,0.00,174.32,0.00,N/A
104.17.216.110,4,4,0.00,174.33,0.00,N/A
104.24.37.135,4,4,0.00,174.36,0.00,N/A
172.64.79.106,4,4,0.00,174.36,0.00,N/A
104.27.103.32,4,4,0.00,174.37,0.00,N/A
104.24.33.131,4,4,0.00,174.39,0.00,N/A
104.21.201.240,4,4,0.00,174.39,0.00,N/A
104.17.184.18,4,4,0.00,174.39,0.00,N/A
104.25.70.107,4,4,0.00,174.41,0.00,N/A
104.25.163.54,4,4,0.00,174.41,0.00,N/A
172.66.141.156,4,4,0.00,174.43,0.00,N/A
104.16.8.162,4,4,0.00,174.46,0.00,N/A
104.25.242.144,4,4,0.00,174.47,0.00,N/A
104.21.220.173,4,4,0.00,174.48,0.00,N/A
172.64.186.2,4,4,0.00,174.49,0.00,N/A
162.159.251.197,4,4,0.00,174.53,0.00,N/A
104.24.79.254,4,4,0.00,174.55,0.00,N/A
172.66.133.157,4,4,0.00,174.55,0.00,N/A
172.65.101.161,4,4,0.00,174.55,0.00,N/A
172.65.122.237,4,4,0.00,174.56,0.00,N/A
172.65.103.62,4,4,0.00,174.56,0.00,N/A
104.27.85.145,4,4,0.00,174.62,0.00,N/A
162.159.133.175,4,4,0.00,174.69,0.00,N/A
104.21.81.68,4,4,0.00,174.70,0.00,N/A
172.64.92.20,4,4,0.00,174.74,0.00,N/A
172.64.49.213,4,4,0.00,174.76,0.00,N/A
104.27.31.228,4,4,0.00,174.76,0.00,N/A
172.66.147.217,4,4,0.00,174.77,0.00,N/A
198.41.198.83,4,4,0.00,174.77,0.00,N/A
104.21.7.252,4,4,0.00,174.78,0.00,N/A
104.27.67.204,4,4,0.00,174.83,0.00,N/A
104.24.220.187,4,4,0.00,174.84,0.00,N/A
104.25.72.4,4,4,0.00,174.84,0.00,N/A
104.25.64.122,4,4,0.00,174.85,0.00,N/A
172.66.196.36,4,4,0.00,174.86,0.00,N/A
104.21.31.80,4,4,0.00,174.86,0.00,N/A
162.159.91.199,4,4,0.00,174.86,0.00,N/A
104.25.66.14,4,4,0.00,174.89,0.00,N/A
104.25.73.203,4,4,0.00,174.89,0.00,N/A
172.66.174.15,4,4,0.00,174.90,0.00,N/A
104.21.103.134,4,4,0.00,174.91,0.00,N/A
104.16.99.179,4,4,0.00,174.91,0.00,N/A
172.65.14.146,4,4,0.00,174.95,0.00,N/A
104.24.63.90,4,4,0.00,174.96,0.00,N/A
162.159.51.149,4,4,0.00,175.01,0.00,N/A
162.159.62.120,4,4,0.00,175.04,0.00,N/A
172.66.203.47,4,4,0.00,175.05,0.00,N/A
172.64.149.132,4,4,0.00,175.05,0.00,N/A
104.21.21.252,4,4,0.00,175.07,0.00,N/A
104.27.99.55,4,4,0.00,175.07,0.00,N/A
104.24.27.76,4,4,0.00,175.11,0.00,N/A
104.21.37.240,4,4,0.00,175.14,0.00,N/A
198.41.223.251,4,4,0.00,175.18,0.00,N/A
172.64.185.3,4,4,0.00,175.19,0.00,N/A
172.65.2.27,4,4,0.00,175.19,0.00,N/A
104.24.75.137,4,4,0.00,175.19,0.00,N/A
104.19.238.73,4,4,0.00,175.21,0.00,N/A
104.27.72.223,4,4,0.00,175.24,0.00,N/A
104.21.41.249,4,4,0.00,175.28,0.00,N/A
104.21.20.126,4,4,0.00,175.30,0.00,N/A
104.18.93.68,4,4,0.00,175.30,0.00,N/A
104.25.255.117,4,4,0.00,175.34,0.00,N/A
162.159.239.193,4,4,0.00,175.35,0.00,N/A
172.64.144.104,4,4,0.00,175.36,0.00,N/A
162.159.57.236,4,4,0.00,175.40,0.00,N/A
172.65.16.121,4,4,0.00,175.40,0.00,N/A
104.24.49.161,4,4,0.00,175.43,0.00,N/A
104.21.49.233,4,4,0.00,175.44,0.00,N/A
104.24.15.132,4,4,0.00,175.44,0.00,N/A
104.21.239.184,4,4,0.00,175.44,0.00,N/A
104.17.93.46,4,4,0.00,175.45,0.00,N/A
104.27.17.21,4,4,0.00,175.46,0.00,N/A
104.27.65.105,4,4,0.00,175.47,0.00,N/A
104.16.45.204,4,4,0.00,175.48,0.00,N/A
104.25.71.245,4,4,0.00,175.52,0.00,N/A
104.24.130.123,4,4,0.00,175.52,0.00,N/A
104.18.248.189,4,4,0.00,175.55,0.00,N/A
104.24.34.52,4,4,0.00,175.56,0.00,N/A
104.24.54.2,4,4,0.00,175.58,0.00,N/A
104.18.245.107,4,4,0.00,175.60,0.00,N/A
104.24.162.252,4,4,0.00,175.60,0.00,N/A
172.64.86.208,4,4,0.00,175.62,0.00,N/A
104.17.39.74,4,4,0.00,175.63,0.00,N/A
162.159.135.181,4,4,0.00,175.64,0.00,N/A
104.27.84.47,4,4,0.00,175.64,0.00,N/A
104.20.45.65,4,4,0.00,175.66,0.00,N/A
104.27.22.209,4,4,0.00,175.68,0.00,N/A
104.25.54.46,4,4,0.00,175.74,0.00,N/A
162.159.137.129,4,4,0.00,175.76,0.00,N/A
172.64.96.84,4,4,0.00,175.77,0.00,N/A
172.64.84.226,4,4,0.00,175.81,0.00,N/A
172.64.187.50,4,4,0.00,175.84,0.00,N/A
104.17.175.245,4,4,0.00,175.88,0.00,N/A
104.19.16.252,4,4,0.00,175.92,0.00,N/A
172.64.32.226,4,4,0.00,175.93,0.00,N/A
104.25.60.45,4,4,0.00,175.94,0.00,N/A
104.25.254.104,4,4,0.00,175.95,0.00,N/A
162.159.93.18,4,4,0.00,175.95,0.00,N/A
104.16.201.75,4,4,0.00,175.97,0.00,N/A
172.65.69.177,4,4,0.00,175.99,0.00,N/A
172.65.9.135,4,4,0.00,176.00,0.00,N/A
104.27.94.41,4,4,0.00,176.03,0.00,N/A
172.67.122.50,4,4,0.00,176.03,0.00,N/A
104.21.26.71,4,4,0.00,176.03,0.00,N/A
172.67.99.21,4,4,0.00,176.07,0.00,N/A
104.24.183.232,4,4,0.00,176.09,0.00,N/A
141.101.113.76,4,4,0.00,176.10,0.00,N/A
104.17.98.199,4,4,0.00,176.11,0.00,N/A
104.24.43.137,4,4,0.00,176.14,0.00,N/A
162.159.3.137,4,4,0.00,176.14,0.00,N/A
